Cant.,Código,NumeraciónDesde,NumeraciónHasta,Descripción del Bien,Est.,Observaciones,Valor  Unitario,archivo_origen,fecha_inventario
9,3.8,,,Escuadras con solapas,R,Armario 1,,RP-01 Inventario de Bienes 002.docx,30/10/2023
13,3.8,,,Escuadras rectas,R,Armario 1,,RP-01 Inventario de Bienes 002.docx,30/10/2023
4,3.8,,,Tijera hojalatero corte recto,M,Armario 1,,RP-01 Inventario de Bienes 002.docx,30/10/2023
4,3.8,,,Tijera hojalatero corte curvo,M,Armario 1,,RP-01 Inventario de Bienes 002.docx,30/10/2023
11,3.8,,,Llaves combinadas de 2 bocas fijas Estriadas Marca Bahco N° 19; 25; 26; 27; 28; 29; 24-27,R,Armario 3,,RP-01 Inventario de Bienes 002.docx,30/10/2023
17,3.8,,,Reglas de pie metálico (30 cm),R,Armario 1,,RP-01 Inventario de Bienes 002.docx,30/10/2023
2,3.8,,,Llaves combinadas de 2 bocas fijas Estriadas Marca Stanley N° 14 y 16,R,Armario 3,,RP-01 Inventario de Bienes 002.docx,30/10/2023
2,3.8,,,Pinza Amperométrica Marca ZURICH,MB,Armario 1,,RP-01 Inventario de Bienes 002.docx,30/10/2023
9,3.8,,,Llaves 2 bocas combinadas  estriadas Marca BAHCO (17/16 – 11/2-  13./8- 1 – 13/16 – 7./8 – 15/16 – 11/14) en pulgadas,R,Armario 3,,RP-01 Inventario de Bienes 003.docx,30/10/2023
4,3.8,,,Llaves 2 bocas combinadas  estriadas Marca Droper Forger (11/4 – 15/16 – 13/16 – 5716) en pulgadas,R,Armario 3,,RP-01 Inventario de Bienes 003.docx,30/10/2023
4,3.8,,,Llaves 2 bocas combinadas  estriadas Marca Irimo (3./4 – 1/2 – 7/6 – 5/16) en pulgadas,R,Armario 3,,RP-01 Inventario de Bienes 003.docx,30/10/2023
2,3.8,,,Llaves 2 bocas combinadas  estriadas Marca Williams (5./8) en pulgadas,R,Armario 3,,RP-01 Inventario de Bienes 003.docx,30/10/2023
1,3.8,,,Llave francesa 8” Marca Tramontina,B,Armario 3,,RP-01 Inventario de Bienes 003.docx,30/10/2023
1,3.8,,,Llave francesa 10” Marca BAHCO,B,Armario 3,,RP-01 Inventario de Bienes 003.docx,30/10/2023
1,3.8,,,Llave francesa 6” Marca Tramontina,B,Armario 3,,RP-01 Inventario de Bienes 003.docx,30/10/2023
2,3.8,,,Llave Estilson Marca BAHCO,R,Armario 3,,RP-01 Inventario de Bienes 003.docx,30/10/2023
9,3.8,,,Lima Media caña 8”,R,Armario 1,,RP-01 Inventario de Bienes 004.docx,30/10/2023
2,3.8,,,Lima Media caña 10”,M,Armario 1,,RP-01 Inventario de Bienes 004.docx,30/10/2023
25,3.8,,,Lima Plana Grano 200 mm x 20 mm,R,Armario 1,,RP-01 Inventario de Bienes 004.docx,30/10/2023
1,3.8,,,Maza Mediana Mango Metal,R,Armario 1,,RP-01 Inventario de Bienes 004.docx,30/10/2023
1,3.8,,,Lima redonda 6”,M,Armario 1,,RP-01 Inventario de Bienes 004.docx,30/10/2023
2,3.8,,,Lima redonda 10”,M,Armario 1,,RP-01 Inventario de Bienes 004.docx,30/10/2023
3,3.8,,,Lima redonda 8”,M,Armario 1,,RP-01 Inventario de Bienes 004.docx,30/10/2023
2,3.8,,,Lima redonda 5”,M,Armario 1,,RP-01 Inventario de Bienes 004.docx,30/10/2023
1,3.1,,,Torno manual,R,,,RP-01 Inventario de Bienes 004.docx,30/10/2023
2,3.8,,,Masa de hierro de 2 Kg.,R,Fabricadas en la escuela,,RP-01 Inventario de Bienes 004.docx,30/10/2023
1,3.9,,,Botiquín,B,,,RP-01 Inventario de Bienes 005.docx,30/10/2023
2,3.8,,,Yunques de 30 Kg. Hierro fundido 540x 110,R,,,RP-01 Inventario de Bienes 005.docx,30/10/2023
3,3.8,,,Llave Combinada Marca Irimo  ½”; 7/16 y ¾”,MB,,,RP-01 Inventario de Bienes 005.docx,30/10/2023
1,3.8,,,Yunque de 100Kg. Hierro fundido,R,,,RP-01 Inventario de Bienes 005.docx,30/10/2023
1,3.8,,,Soporte para taladro,B,,,RP-01 Inventario de Bienes 005.docx,30/10/2023
1,3.1,,,Plegadora para chapa manuales.,R,,,RP-01 Inventario de Bienes 005.docx,30/10/2023
8,3.8,,,Pinza Universal Marca Black Jack (2) ; Marca Bahco (2); Marca Crossmastar (4),B,Armario 3,,RP-01 Inventario de Bienes 005.docx,30/10/2023
2,3.8,,,Llaves combinadas de 2 bocas fijas Estriadas N° 12 Marca Robust  y 11 Marca Diamond Brand,,Armario 3,,RP-01 Inventario de Bienes 005.docx,30/10/2023
22,3.8,,,Morzas Nº 3 de hierro fundido,B,,,RP-01 Inventario de Bienes 005.docx,30/10/2023
1,3.6,,,PLC Siemens LOGO GED 1052 – 1FB08-OBAO 8 entradas 4 Salidas,B,,,RP-01 Inventario de Bienes 006.docx,30/10/2023
1,3.1,,,Motor Siemens 230/400 Volt 50 Hz 1 LA 7070- 2AA10 ¾ HP Trifásico,B,,,RP-01 Inventario de Bienes 006.docx,30/10/2023
1,3.8,,,Cilindradora  Manual,R,,,RP-01 Inventario de Bienes 006.docx,30/10/2023
1,3.8,,,PISTOLA P/SOPLETEAR,R,,,RP-01 Inventario de Bienes 006.docx,30/10/2023
21,,,,Arcos de sierra completos,R,Armario 4,,RP-01 Inventario de Bienes 006.docx,30/10/2023
1,3.8,,,Morzas Nº 6,R,,,RP-01 Inventario de Bienes 006.docx,30/10/2023
1,3.8,,,LLAVE POLIGONAL 17,MB,Programa 39- Herramental Menor,,RP-01 Inventario de Bienes 006.docx,30/10/2023
1,3.8,,,LLAVE POLIGONAL 18,MB,,,RP-01 Inventario de Bienes 006.docx,30/10/2023
1,3.8,,,LLAVE POLIGONAL 19,Nuevo,,,RP-01 Inventario de Bienes 006.docx,30/10/2023
2,3.8,,,ACCESORIOS DRAMEL,MB,Programa 39- Herramental Menor,,RP-01 Inventario de Bienes 006.docx,30/10/2023
