Código,Nombre,Cantidad,Fecha Inventario
ESC001,Escuadras con solapas,9,2023-10-30
ESC002,Escuadras rectas,13,2023-10-30
TIJ003,Tijera hojalatero corte recto,4,2023-10-30
TIJ004,Tijera hojalatero corte curvo,4,2023-10-30
LLA005,Llaves combinadas de 2 bocas fijas Estriadas Marca Bahco N° 19; 25; 26; 27; 28; 29; 24-27,11,2023-10-30
REG006,Reglas de pie metálico (30 cm),17,2023-10-30
LLA007,Llaves combinadas de 2 bocas fijas Estriadas Marca Stanley N° 14 y 16,2,2023-10-30
PIN008,Pinza Amperométrica Marca ZURICH,2,2023-10-30
LLA009,Llaves 2 bocas combinadas  estriadas Marca BAHCO (17/16 – 11/2-  13./8- 1 – 13/16 – 7./8 – 15/16 – 11/14) en pulgadas,9,2023-10-30
LLA010,Llaves 2 bocas combinadas  estriadas Marca Droper Forger (11/4 – 15/16 – 13/16 – 5716) en pulgadas,4,2023-10-30
LLA011,Llaves 2 bocas combinadas  estriadas Marca Irimo (3./4 – 1/2 – 7/6 – 5/16) en pulgadas,4,2023-10-30
LLA012,Llaves 2 bocas combinadas  estriadas Marca Williams (5./8) en pulgadas,2,2023-10-30
LLA013,Llave francesa 8” Marca Tramontina,1,2023-10-30
LLA014,Llave francesa 10” Marca BAHCO,1,2023-10-30
LLA015,Llave francesa 6” Marca Tramontina,1,2023-10-30
LLA016,Llave Estilson Marca BAHCO,2,2023-10-30
LIM017,Lima Media caña 8”,9,2023-10-30
LIM018,Lima Media caña 10”,2,2023-10-30
LIM019,Lima Plana Grano 200 mm x 20 mm,25,2023-10-30
MAZ020,Maza Mediana Mango Metal,1,2023-10-30
LIM021,Lima redonda 6”,1,2023-10-30
LIM022,Lima redonda 10”,2,2023-10-30
LIM023,Lima redonda 8”,3,2023-10-30
LIM024,Lima redonda 5”,2,2023-10-30
TOR025,Torno manual,1,2023-10-30
MAS026,Masa de hierro de 2 Kg.,2,2023-10-30
BOT027,Botiquín,1,2023-10-30
YUN028,Yunques de 30 Kg. Hierro fundido 540x 110,2,2023-10-30
LLA029,Llave Combinada Marca Irimo  ½”; 7/16 y ¾”,3,2023-10-30
YUN030,Yunque de 100Kg. Hierro fundido,1,2023-10-30
SOP031,Soporte para taladro,1,2023-10-30
PLE032,Plegadora para chapa manuales.,1,2023-10-30
PIN033,Pinza Universal Marca Black Jack (2) ; Marca Bahco (2); Marca Crossmastar (4),8,2023-10-30
LLA034,Llaves combinadas de 2 bocas fijas Estriadas N° 12 Marca Robust  y 11 Marca Diamond Brand,2,2023-10-30
MOR035,Morzas Nº 3 de hierro fundido,22,2023-10-30
PLC036,PLC Siemens LOGO GED 1052 – 1FB08-OBAO 8 entradas 4 Salidas,1,2023-10-30
MOT037,Motor Siemens 230/400 Volt 50 Hz 1 LA 7070- 2AA10 ¾ HP Trifásico,1,2023-10-30
CIL038,Cilindradora  Manual,1,2023-10-30
PIS039,PISTOLA P/SOPLETEAR,1,2023-10-30
ARC040,Arcos de sierra completos,21,2023-10-30
MOR041,Morzas Nº 6,1,2023-10-30
LLA042,LLAVE POLIGONAL 17,1,2023-10-30
LLA043,LLAVE POLIGONAL 18,1,2023-10-30
LLA044,LLAVE POLIGONAL 19,1,2023-10-30
ACC045,ACCESORIOS DRAMEL,2,2023-10-30
BAN046,Bancos de Ajustador,6,2023-10-30
CIZ047,Cizallas manuales de 1x 250 mm,1,2023-10-30
PRE048,PRENSA G 3” Marca Blitz,4,2023-10-30
PRE049,PRENSA G 8” Marca Blitz,1,2023-10-30
PRE050,PRENSA G 7” Marca Blitz,1,2023-10-30
LLA051,LLAVE CURVA,2,2023-10-30
PIN052,PINZA AMPEROMÉTRICA Pronext,1,2023-10-30
JUE053,JUEGO LIMAS MATRICERAS,1,2023-10-30
MÁS054,Máscaras soldador fotosencible,3,2023-10-30
CON055,Contactores con Auxiliares,2,2023-10-30
PIN056,Pinza de Punta Plana Marca Crossmastar,3,2023-10-30
PIN057,Pinza de Punta Plana (Rojas),2,2023-10-30
PIN058,Pinza sacabocado Blitz,1,2023-10-30
TIJ059,Tijeras Articulada  corte universal,7,2023-10-30
ALI060,Alicate corte diagonal,2,2023-10-30
PIN061,Pinza Universal 200 mm,1,2023-10-30
PIN062,PINZA AMPEROMÉTRICA TS-P1266,2,2023-10-30
CAL063,Calibre Mecánico Acero inox 150 mm,8,2023-10-30
CAL064,Calibre digital 150 mm,1,2023-10-30
TES065,Tester Digital,4,2023-10-30
PIN066,Pinza Amperométrica Marca Sonel,1,2023-10-30
SOL067,Soldador Estaño 60 w p/cerámica,4,2023-10-30
JUE068,Juego de piezas de llave Allem (30 piezas),1,2023-10-30
PAR069,Pares de guantes de soldador Caña larga- Rojos,3,2023-10-30
PAR070,Pares de guantes de soldador Caña larga- Naranja,4,2023-10-30
FAJ071,Fajas Lumbares,6,2023-10-30
CHA072,Chaquetas de Soldador,15,2023-10-30
DEL073,Delantales de Soldador,13,2023-10-30
DEL074,Delantales de Soldador,6,2023-10-30
PAR075,Pares de Polainas,14,2023-10-30
ALI076,Alicate,3,2023-10-30
LLA077,Llaves combinadas doble boca  12-14; 8-10,2,2023-10-30
LLA078,Llaves combinadas doble boca Marca SGA 17-19,1,2023-10-30
LLA079,Llave Boca/boca Marca BAHCO  32; 24-27; 24-25;24-21,4,2023-10-30
DES080,Destornillador  Paleta  5 x 90,2,2023-10-30
DES081,Destornillador  Paleta  4 x 100,1,2023-10-30
DES082,Destornillador Paleta Brenen 6 x 100,1,2023-10-30
DES083,Destornillador Paleta  6 x 100,1,2023-10-30
DES084,Destornillador Philips Brenen 4 x 200,1,2023-10-30
LIM085,Lima triangular 6” (fino),1,2023-10-30
LIM086,Lima triangular 8” (medio),5,2023-10-30
LIM087,Lima cuadrada 6”x 5 mm (medio),1,2023-10-30
LIM088,Lima cuadrada 8”x 8 mm (medio),5,2023-10-30
LIM089,Lima cuadrada 8”x 10 mm (medio),1,2023-10-30
